timestamp,image_path,pos_x,pos_y,pos_z,yaw
20250714_182924_981267,go2_dataset_20250714_182922/images/20250714_182924_981267.png,3.529789,1.293523,0.317294,0.253257
20250714_182925_083233,go2_dataset_20250714_182922/images/20250714_182925_083233.png,3.529841,1.293571,0.317291,0.253322
20250714_182925_190353,go2_dataset_20250714_182922/images/20250714_182925_190353.png,3.530071,1.293762,0.317273,0.253008
20250714_182925_297494,go2_dataset_20250714_182922/images/20250714_182925_297494.png,3.530213,1.293855,0.317273,0.253043
20250714_182925_400528,go2_dataset_20250714_182922/images/20250714_182925_400528.png,3.530334,1.293991,0.317279,0.25313
20250714_182925_507184,go2_dataset_20250714_182922/images/20250714_182925_507184.png,3.530522,1.29405,0.317289,0.253209
20250714_182925_615866,go2_dataset_20250714_182922/images/20250714_182925_615866.png,3.530724,1.294186,0.317283,0.253301
20250714_182925_722549,go2_dataset_20250714_182922/images/20250714_182925_722549.png,3.530859,1.294296,0.317284,0.253311
20250714_182925_829629,go2_dataset_20250714_182922/images/20250714_182925_829629.png,3.531016,1.294439,0.317291,0.253279
20250714_182925_933885,go2_dataset_20250714_182922/images/20250714_182925_933885.png,3.531201,1.294592,0.317281,0.253103
20250714_182926_040653,go2_dataset_20250714_182922/images/20250714_182926_040653.png,3.531362,1.294724,0.317286,0.253036
20250714_182926_147755,go2_dataset_20250714_182922/images/20250714_182926_147755.png,3.531485,1.294961,0.317279,0.253151
20250714_182926_254676,go2_dataset_20250714_182922/images/20250714_182926_254676.png,3.531628,1.295101,0.317278,0.253215
20250714_182926_361070,go2_dataset_20250714_182922/images/20250714_182926_361070.png,3.531689,1.295217,0.317281,0.253113
20250714_182926_467761,go2_dataset_20250714_182922/images/20250714_182926_467761.png,3.531867,1.295369,0.317271,0.252932
20250714_182926_574457,go2_dataset_20250714_182922/images/20250714_182926_574457.png,3.532015,1.295496,0.317273,0.2528
20250714_182926_680906,go2_dataset_20250714_182922/images/20250714_182926_680906.png,3.532132,1.295558,0.317272,0.252808
20250714_182926_788189,go2_dataset_20250714_182922/images/20250714_182926_788189.png,3.532359,1.295795,0.317274,0.253134
20250714_182926_895067,go2_dataset_20250714_182922/images/20250714_182926_895067.png,3.532514,1.295885,0.317275,0.252943
20250714_182927_001724,go2_dataset_20250714_182922/images/20250714_182927_001724.png,3.53269,1.296017,0.317275,0.252836
20250714_182927_107714,go2_dataset_20250714_182922/images/20250714_182927_107714.png,3.532778,1.296169,0.317272,0.252756
20250714_182927_213811,go2_dataset_20250714_182922/images/20250714_182927_213811.png,3.532923,1.296288,0.317287,0.252745
20250714_182927_320137,go2_dataset_20250714_182922/images/20250714_182927_320137.png,3.532649,1.296187,0.317014,0.252436
20250714_182927_426812,go2_dataset_20250714_182922/images/20250714_182927_426812.png,3.532653,1.295571,0.318048,0.246205
20250714_182927_533206,go2_dataset_20250714_182922/images/20250714_182927_533206.png,3.529656,1.293004,0.319927,0.192206
20250714_182927_639846,go2_dataset_20250714_182922/images/20250714_182927_639846.png,3.526905,1.289016,0.32008,0.073306
20250714_182927_742178,go2_dataset_20250714_182922/images/20250714_182927_742178.png,3.523016,1.286247,0.303717,-0.200654
20250714_182927_848621,go2_dataset_20250714_182922/images/20250714_182927_848621.png,3.524368,1.289142,0.310516,-0.382306
20250714_182927_954943,go2_dataset_20250714_182922/images/20250714_182927_954943.png,3.529007,1.291368,0.316115,-0.606562
20250714_182928_061440,go2_dataset_20250714_182922/images/20250714_182928_061440.png,3.538247,1.298916,0.316888,-0.86485
20250714_182928_167764,go2_dataset_20250714_182922/images/20250714_182928_167764.png,3.544018,1.308709,0.307414,-1.132743
20250714_182928_274082,go2_dataset_20250714_182922/images/20250714_182928_274082.png,3.546456,1.322193,0.296134,-1.38896
20250714_182928_380720,go2_dataset_20250714_182922/images/20250714_182928_380720.png,3.546554,1.333385,0.30546,-1.59279
20250714_182928_488004,go2_dataset_20250714_182922/images/20250714_182928_488004.png,3.544871,1.34146,0.313331,-1.833799
20250714_182928_594329,go2_dataset_20250714_182922/images/20250714_182928_594329.png,3.536361,1.345473,0.3105,-2.170124
20250714_182928_700892,go2_dataset_20250714_182922/images/20250714_182928_700892.png,3.533793,1.345165,0.306783,-2.263703
20250714_182928_807831,go2_dataset_20250714_182922/images/20250714_182928_807831.png,3.517099,1.328701,0.305653,-2.473009
20250714_182928_914570,go2_dataset_20250714_182922/images/20250714_182928_914570.png,3.498658,1.313118,0.307749,-2.552727
20250714_182929_020725,go2_dataset_20250714_182922/images/20250714_182929_020725.png,3.468479,1.28795,0.307355,-2.582033
20250714_182929_127324,go2_dataset_20250714_182922/images/20250714_182929_127324.png,3.43325,1.25998,0.305703,-2.594667
20250714_182929_233639,go2_dataset_20250714_182922/images/20250714_182929_233639.png,3.391483,1.223539,0.297781,-2.594996
20250714_182929_340136,go2_dataset_20250714_182922/images/20250714_182929_340136.png,3.315716,1.161504,0.299981,-2.554689
20250714_182929_446614,go2_dataset_20250714_182922/images/20250714_182929_446614.png,3.262166,1.118171,0.292953,-2.509278
20250714_182929_552556,go2_dataset_20250714_182922/images/20250714_182929_552556.png,3.234234,1.09165,0.299096,-2.486705
20250714_182929_658890,go2_dataset_20250714_182922/images/20250714_182929_658890.png,3.153058,1.012613,0.298859,-2.349608
20250714_182929_765181,go2_dataset_20250714_182922/images/20250714_182929_765181.png,3.097303,0.950733,0.299791,-2.205257
20250714_182929_871186,go2_dataset_20250714_182922/images/20250714_182929_871186.png,3.055585,0.895198,0.303064,-2.063807
20250714_182929_977650,go2_dataset_20250714_182922/images/20250714_182929_977650.png,3.017059,0.830433,0.29914,-1.946133
20250714_182930_084000,go2_dataset_20250714_182922/images/20250714_182930_084000.png,2.989844,0.770497,0.306449,-1.921313
20250714_182930_190366,go2_dataset_20250714_182922/images/20250714_182930_190366.png,2.962447,0.718627,0.304178,-1.907809
20250714_182930_296860,go2_dataset_20250714_182922/images/20250714_182930_296860.png,2.921654,0.657759,0.310988,-1.868619
20250714_182930_400615,go2_dataset_20250714_182922/images/20250714_182930_400615.png,2.911144,0.645656,0.310989,-1.857612
20250714_182930_507631,go2_dataset_20250714_182922/images/20250714_182930_507631.png,2.885163,0.603986,0.312636,-1.824111
20250714_182930_613496,go2_dataset_20250714_182922/images/20250714_182930_613496.png,2.880007,0.590658,0.312845,-1.8199
20250714_182930_717319,go2_dataset_20250714_182922/images/20250714_182930_717319.png,2.876369,0.541726,0.313202,-1.816692
20250714_182930_823535,go2_dataset_20250714_182922/images/20250714_182930_823535.png,2.874889,0.504157,0.3133,-1.810476
20250714_182930_930009,go2_dataset_20250714_182922/images/20250714_182930_930009.png,2.872217,0.462253,0.307279,-1.8054
20250714_182931_036427,go2_dataset_20250714_182922/images/20250714_182931_036427.png,2.868541,0.401796,0.310736,-1.82496
20250714_182931_142578,go2_dataset_20250714_182922/images/20250714_182931_142578.png,2.864532,0.385246,0.309325,-1.826249
20250714_182931_248822,go2_dataset_20250714_182922/images/20250714_182931_248822.png,2.84633,0.345275,0.311986,-1.799921
20250714_182931_355229,go2_dataset_20250714_182922/images/20250714_182931_355229.png,2.833836,0.326763,0.310621,-1.748486
20250714_182931_461417,go2_dataset_20250714_182922/images/20250714_182931_461417.png,2.817466,0.305412,0.312882,-1.680624
20250714_182931_567080,go2_dataset_20250714_182922/images/20250714_182931_567080.png,2.808623,0.282441,0.314988,-1.590052
20250714_182931_673934,go2_dataset_20250714_182922/images/20250714_182931_673934.png,2.800501,0.255959,0.315421,-1.509245
20250714_182931_780256,go2_dataset_20250714_182922/images/20250714_182931_780256.png,2.796163,0.230301,0.316685,-1.472015
20250714_182931_886730,go2_dataset_20250714_182922/images/20250714_182931_886730.png,2.79253,0.205304,0.315081,-1.457373
20250714_182931_992663,go2_dataset_20250714_182922/images/20250714_182931_992663.png,2.791,0.162099,0.315292,-1.470445
20250714_182932_100137,go2_dataset_20250714_182922/images/20250714_182932_100137.png,2.79604,0.132783,0.312589,-1.477674
20250714_182932_207433,go2_dataset_20250714_182922/images/20250714_182932_207433.png,2.80531,0.098007,0.314045,-1.467624
20250714_182932_313587,go2_dataset_20250714_182922/images/20250714_182932_313587.png,2.815299,0.066015,0.311132,-1.43646
20250714_182932_418263,go2_dataset_20250714_182922/images/20250714_182932_418263.png,2.829915,0.028698,0.311876,-1.389283
20250714_182932_524594,go2_dataset_20250714_182922/images/20250714_182932_524594.png,2.839465,-0.006218,0.314218,-1.313221
20250714_182932_630636,go2_dataset_20250714_182922/images/20250714_182932_630636.png,2.847822,-0.041099,0.313199,-1.202044
20250714_182932_736657,go2_dataset_20250714_182922/images/20250714_182932_736657.png,2.855469,-0.071298,0.313264,-1.111738
20250714_182932_842820,go2_dataset_20250714_182922/images/20250714_182932_842820.png,2.868443,-0.117232,0.31135,-1.072663
20250714_182932_949319,go2_dataset_20250714_182922/images/20250714_182932_949319.png,2.873776,-0.132391,0.312584,-1.075112
20250714_182933_055717,go2_dataset_20250714_182922/images/20250714_182933_055717.png,2.883387,-0.159492,0.312748,-1.083029
20250714_182933_162960,go2_dataset_20250714_182922/images/20250714_182933_162960.png,2.909803,-0.207077,0.313667,-1.077517
20250714_182933_267095,go2_dataset_20250714_182922/images/20250714_182933_267095.png,2.920989,-0.223341,0.312728,-1.074536
20250714_182933_373641,go2_dataset_20250714_182922/images/20250714_182933_373641.png,2.959386,-0.285582,0.307352,-1.082092
20250714_182933_479612,go2_dataset_20250714_182922/images/20250714_182933_479612.png,2.983529,-0.326261,0.307085,-1.087342
20250714_182933_584284,go2_dataset_20250714_182922/images/20250714_182933_584284.png,3.012543,-0.391405,0.305995,-1.066039
20250714_182933_689482,go2_dataset_20250714_182922/images/20250714_182933_689482.png,3.029261,-0.436223,0.307751,-1.053491
20250714_182933_796267,go2_dataset_20250714_182922/images/20250714_182933_796267.png,3.035983,-0.459641,0.306026,-1.050029
20250714_182933_902782,go2_dataset_20250714_182922/images/20250714_182933_902782.png,3.035983,-0.459641,0.306026,-1.050029
20250714_182934_009149,go2_dataset_20250714_182922/images/20250714_182934_009149.png,3.035983,-0.459641,0.306026,-1.050029
20250714_182934_116640,go2_dataset_20250714_182922/images/20250714_182934_116640.png,3.035983,-0.459641,0.306026,-1.050029
20250714_182934_219472,go2_dataset_20250714_182922/images/20250714_182934_219472.png,3.035983,-0.459641,0.306026,-1.050029
20250714_182934_325723,go2_dataset_20250714_182922/images/20250714_182934_325723.png,3.215039,-0.83839,0.296664,-1.058544
20250714_182934_432363,go2_dataset_20250714_182922/images/20250714_182934_432363.png,3.260053,-0.920355,0.303268,-1.068801
20250714_182934_539431,go2_dataset_20250714_182922/images/20250714_182934_539431.png,3.323741,-1.040267,0.294456,-0.969995
20250714_182934_643813,go2_dataset_20250714_182922/images/20250714_182934_643813.png,3.345729,-1.076638,0.300532,-0.909702
20250714_182934_750207,go2_dataset_20250714_182922/images/20250714_182934_750207.png,3.406621,-1.165255,0.30252,-0.726169
20250714_182934_855959,go2_dataset_20250714_182922/images/20250714_182934_855959.png,3.457411,-1.219037,0.308245,-0.637707
20250714_182934_962117,go2_dataset_20250714_182922/images/20250714_182934_962117.png,3.510772,-1.257598,0.307149,-0.561249
20250714_182935_068514,go2_dataset_20250714_182922/images/20250714_182935_068514.png,3.579035,-1.301368,0.305004,-0.5143
20250714_182935_174723,go2_dataset_20250714_182922/images/20250714_182935_174723.png,3.647349,-1.342943,0.306547,-0.494048
20250714_182935_280724,go2_dataset_20250714_182922/images/20250714_182935_280724.png,3.726657,-1.388935,0.298487,-0.490563
20250714_182935_387298,go2_dataset_20250714_182922/images/20250714_182935_387298.png,3.854329,-1.460322,0.305997,-0.5086
20250714_182935_493293,go2_dataset_20250714_182922/images/20250714_182935_493293.png,3.938639,-1.511709,0.295234,-0.4916
20250714_182935_599508,go2_dataset_20250714_182922/images/20250714_182935_599508.png,3.99726,-1.541627,0.310787,-0.461216
20250714_182935_705913,go2_dataset_20250714_182922/images/20250714_182935_705913.png,4.044967,-1.555159,0.316303,-0.456235
20250714_182935_812029,go2_dataset_20250714_182922/images/20250714_182935_812029.png,4.081184,-1.550677,0.313318,-0.475156
20250714_182935_918619,go2_dataset_20250714_182922/images/20250714_182935_918619.png,4.09811,-1.544548,0.314546,-0.497018
20250714_182936_024863,go2_dataset_20250714_182922/images/20250714_182936_024863.png,4.097601,-1.529145,0.313841,-0.501635
20250714_182936_131017,go2_dataset_20250714_182922/images/20250714_182936_131017.png,4.092811,-1.521376,0.314115,-0.492868
20250714_182936_237954,go2_dataset_20250714_182922/images/20250714_182936_237954.png,4.083848,-1.519369,0.312491,-0.485823
20250714_182936_344586,go2_dataset_20250714_182922/images/20250714_182936_344586.png,4.076232,-1.520488,0.314458,-0.495725
20250714_182936_450484,go2_dataset_20250714_182922/images/20250714_182936_450484.png,4.077857,-1.521054,0.314592,-0.490001
20250714_182936_556753,go2_dataset_20250714_182922/images/20250714_182936_556753.png,4.081398,-1.520764,0.314923,-0.482312
20250714_182936_663587,go2_dataset_20250714_182922/images/20250714_182936_663587.png,4.082879,-1.521169,0.314995,-0.481284
20250714_182936_770012,go2_dataset_20250714_182922/images/20250714_182936_770012.png,4.082437,-1.521205,0.31495,-0.483034
20250714_182936_876688,go2_dataset_20250714_182922/images/20250714_182936_876688.png,4.082185,-1.520789,0.314945,-0.48456
20250714_182936_983419,go2_dataset_20250714_182922/images/20250714_182936_983419.png,4.08239,-1.520815,0.31494,-0.485505
20250714_182937_087955,go2_dataset_20250714_182922/images/20250714_182937_087955.png,4.083029,-1.521139,0.314976,-0.485587
20250714_182937_194220,go2_dataset_20250714_182922/images/20250714_182937_194220.png,4.083808,-1.521414,0.315037,-0.485192
20250714_182937_296265,go2_dataset_20250714_182922/images/20250714_182937_296265.png,4.085073,-1.521626,0.315192,-0.485576
20250714_182937_398621,go2_dataset_20250714_182922/images/20250714_182937_398621.png,4.085738,-1.521802,0.315236,-0.486072
20250714_182937_503077,go2_dataset_20250714_182922/images/20250714_182937_503077.png,4.086491,-1.522001,0.315338,-0.486479
20250714_182937_610519,go2_dataset_20250714_182922/images/20250714_182937_610519.png,4.087577,-1.522115,0.315539,-0.487619
20250714_182937_717377,go2_dataset_20250714_182922/images/20250714_182937_717377.png,4.088885,-1.521995,0.315699,-0.48836
20250714_182937_824471,go2_dataset_20250714_182922/images/20250714_182937_824471.png,4.090072,-1.521889,0.315846,-0.487934
