timestamp,image_path,pos_x,pos_y,pos_z,yaw
20250714_183126_850167,go2_dataset_20250714_183124/images/20250714_183126_850167.png,5.009454,0.91982,0.317284,0.113382
20250714_183126_957441,go2_dataset_20250714_183124/images/20250714_183126_957441.png,5.00973,0.919883,0.317282,0.113422
20250714_183127_064614,go2_dataset_20250714_183124/images/20250714_183127_064614.png,5.009987,0.920001,0.317273,0.113496
20250714_183127_171912,go2_dataset_20250714_183124/images/20250714_183127_171912.png,5.01023,0.920144,0.317266,0.11353
20250714_183127_276079,go2_dataset_20250714_183124/images/20250714_183127_276079.png,5.010418,0.920208,0.317283,0.113469
20250714_183127_380790,go2_dataset_20250714_183124/images/20250714_183127_380790.png,5.010713,0.920248,0.317275,0.113376
20250714_183127_485048,go2_dataset_20250714_183124/images/20250714_183127_485048.png,5.011102,0.920389,0.317276,0.113371
20250714_183127_591841,go2_dataset_20250714_183124/images/20250714_183127_591841.png,5.01142,0.920425,0.317274,0.113382
20250714_183127_698270,go2_dataset_20250714_183124/images/20250714_183127_698270.png,5.011651,0.92052,0.317279,0.113274
20250714_183127_804515,go2_dataset_20250714_183124/images/20250714_183127_804515.png,5.011905,0.920542,0.317269,0.113153
20250714_183127_908248,go2_dataset_20250714_183124/images/20250714_183127_908248.png,5.012173,0.920648,0.317275,0.113054
20250714_183128_014221,go2_dataset_20250714_183124/images/20250714_183128_014221.png,5.012394,0.920765,0.317263,0.112953
20250714_183128_118457,go2_dataset_20250714_183124/images/20250714_183128_118457.png,5.012624,0.920854,0.317257,0.112856
20250714_183128_225367,go2_dataset_20250714_183124/images/20250714_183128_225367.png,5.012774,0.920921,0.317257,0.112823
20250714_183128_328294,go2_dataset_20250714_183124/images/20250714_183128_328294.png,5.012925,0.920998,0.31726,0.112805
20250714_183128_435378,go2_dataset_20250714_183124/images/20250714_183128_435378.png,5.013129,0.92105,0.31726,0.112881
20250714_183128_543391,go2_dataset_20250714_183124/images/20250714_183128_543391.png,5.013373,0.921116,0.317249,0.112749
20250714_183128_650605,go2_dataset_20250714_183124/images/20250714_183128_650605.png,5.013525,0.921253,0.317252,0.112688
20250714_183128_755462,go2_dataset_20250714_183124/images/20250714_183128_755462.png,5.01371,0.921327,0.317242,0.112749
20250714_183128_859423,go2_dataset_20250714_183124/images/20250714_183128_859423.png,5.013896,0.921435,0.31726,0.112803
20250714_183128_963589,go2_dataset_20250714_183124/images/20250714_183128_963589.png,5.014031,0.921424,0.317036,0.112861
20250714_183129_070124,go2_dataset_20250714_183124/images/20250714_183129_070124.png,5.015311,0.92405,0.317666,0.089014
20250714_183129_176100,go2_dataset_20250714_183124/images/20250714_183129_176100.png,5.015203,0.927911,0.320542,0.012352
20250714_183129_280317,go2_dataset_20250714_183124/images/20250714_183129_280317.png,5.017931,0.934422,0.3217,-0.122284
20250714_183129_386621,go2_dataset_20250714_183124/images/20250714_183129_386621.png,5.016309,0.937392,0.312305,-0.299048
20250714_183129_493174,go2_dataset_20250714_183124/images/20250714_183129_493174.png,5.011103,0.939758,0.304349,-0.482739
20250714_183129_599660,go2_dataset_20250714_183124/images/20250714_183129_599660.png,5.004476,0.940179,0.315087,-0.767501
20250714_183129_705315,go2_dataset_20250714_183124/images/20250714_183129_705315.png,4.99923,0.937661,0.316215,-1.00624
20250714_183129_807901,go2_dataset_20250714_183124/images/20250714_183129_807901.png,4.994955,0.934541,0.309837,-1.252602
20250714_183129_915085,go2_dataset_20250714_183124/images/20250714_183129_915085.png,4.991058,0.932809,0.296319,-1.504633
20250714_183130_021672,go2_dataset_20250714_183124/images/20250714_183130_021672.png,4.992372,0.92842,0.306939,-1.69867
20250714_183130_128445,go2_dataset_20250714_183124/images/20250714_183130_128445.png,4.996928,0.922915,0.315259,-1.934029
20250714_183130_234461,go2_dataset_20250714_183124/images/20250714_183130_234461.png,5.007961,0.915954,0.317018,-2.192957
20250714_183130_338169,go2_dataset_20250714_183124/images/20250714_183130_338169.png,5.031827,0.915088,0.299801,-2.579948
20250714_183130_444724,go2_dataset_20250714_183124/images/20250714_183130_444724.png,5.045804,0.919305,0.300803,-2.783626
20250714_183130_546220,go2_dataset_20250714_183124/images/20250714_183130_546220.png,5.057115,0.925921,0.309331,-2.997905
20250714_183130_648727,go2_dataset_20250714_183124/images/20250714_183130_648727.png,5.065589,0.929752,0.312187,-3.090731
20250714_183130_755607,go2_dataset_20250714_183124/images/20250714_183130_755607.png,5.074352,0.939981,0.314306,3.085666
20250714_183130_859334,go2_dataset_20250714_183124/images/20250714_183130_859334.png,5.069929,0.948316,0.312835,3.045673
20250714_183130_963489,go2_dataset_20250714_183124/images/20250714_183130_963489.png,5.059355,0.949857,0.314033,3.048054
20250714_183131_067679,go2_dataset_20250714_183124/images/20250714_183131_067679.png,5.014185,0.950768,0.311926,3.056054
20250714_183131_173789,go2_dataset_20250714_183124/images/20250714_183131_173789.png,4.966138,0.950385,0.305622,3.052754
20250714_183131_280041,go2_dataset_20250714_183124/images/20250714_183131_280041.png,4.912202,0.951042,0.304956,3.04073
20250714_183131_386400,go2_dataset_20250714_183124/images/20250714_183131_386400.png,4.820007,0.956197,0.296089,3.06128
20250714_183131_492780,go2_dataset_20250714_183124/images/20250714_183131_492780.png,4.750197,0.962311,0.298745,3.083942
20250714_183131_599589,go2_dataset_20250714_183124/images/20250714_183131_599589.png,4.677738,0.972111,0.29341,3.08698
20250714_183131_706369,go2_dataset_20250714_183124/images/20250714_183131_706369.png,4.631602,0.975844,0.2971,3.073548
20250714_183131_812773,go2_dataset_20250714_183124/images/20250714_183131_812773.png,4.50098,0.987697,0.296894,3.051614
20250714_183131_919152,go2_dataset_20250714_183124/images/20250714_183131_919152.png,4.404882,1.000521,0.294612,3.07652
20250714_183132_025410,go2_dataset_20250714_183124/images/20250714_183132_025410.png,4.315231,1.012546,0.301454,3.104016
20250714_183132_132054,go2_dataset_20250714_183124/images/20250714_183132_132054.png,4.27345,1.01978,0.300719,3.10842
20250714_183132_238235,go2_dataset_20250714_183124/images/20250714_183132_238235.png,4.068105,1.045295,0.302533,3.053854
20250714_183132_344754,go2_dataset_20250714_183124/images/20250714_183132_344754.png,4.02029,1.049388,0.298355,3.049782
20250714_183132_450877,go2_dataset_20250714_183124/images/20250714_183132_450877.png,3.855925,1.065592,0.301903,3.08984
20250714_183132_557109,go2_dataset_20250714_183124/images/20250714_183132_557109.png,3.764728,1.073129,0.30417,3.128671
20250714_183132_663241,go2_dataset_20250714_183124/images/20250714_183132_663241.png,3.66477,1.071015,0.303858,-3.110815
20250714_183132_769545,go2_dataset_20250714_183124/images/20250714_183132_769545.png,3.57931,1.062444,0.310168,-3.042066
20250714_183132_875522,go2_dataset_20250714_183124/images/20250714_183132_875522.png,3.494895,1.047685,0.300876,-2.921485
20250714_183132_981464,go2_dataset_20250714_183124/images/20250714_183132_981464.png,3.421944,1.024841,0.3105,-2.773109
20250714_183133_087936,go2_dataset_20250714_183124/images/20250714_183133_087936.png,3.340349,0.974772,0.305059,-2.560598
20250714_183133_194505,go2_dataset_20250714_183124/images/20250714_183133_194505.png,3.302876,0.944089,0.313379,-2.440522
20250714_183133_300483,go2_dataset_20250714_183124/images/20250714_183133_300483.png,3.275538,0.915314,0.315828,-2.293243
20250714_183133_406577,go2_dataset_20250714_183124/images/20250714_183133_406577.png,3.252242,0.888436,0.315465,-2.128818
20250714_183133_512849,go2_dataset_20250714_183124/images/20250714_183133_512849.png,3.227965,0.862198,0.308418,-1.953781
20250714_183133_619224,go2_dataset_20250714_183124/images/20250714_183133_619224.png,3.19982,0.814645,0.305954,-1.870925
20250714_183133_725353,go2_dataset_20250714_183124/images/20250714_183133_725353.png,3.174225,0.772104,0.302795,-1.858819
20250714_183133_831697,go2_dataset_20250714_183124/images/20250714_183133_831697.png,3.150899,0.713034,0.292869,-1.846496
20250714_183133_938134,go2_dataset_20250714_183124/images/20250714_183133_938134.png,3.125961,0.643706,0.299234,-1.827803
20250714_183134_044372,go2_dataset_20250714_183124/images/20250714_183134_044372.png,3.084669,0.521741,0.292599,-1.834311
20250714_183134_151110,go2_dataset_20250714_183124/images/20250714_183134_151110.png,3.054852,0.438621,0.300153,-1.8624
20250714_183134_257441,go2_dataset_20250714_183124/images/20250714_183134_257441.png,3.023497,0.363767,0.296116,-1.853967
20250714_183134_363674,go2_dataset_20250714_183124/images/20250714_183134_363674.png,2.987398,0.303201,0.298499,-1.77908
20250714_183134_470405,go2_dataset_20250714_183124/images/20250714_183134_470405.png,2.96776,0.262682,0.304754,-1.709594
20250714_183134_573999,go2_dataset_20250714_183124/images/20250714_183134_573999.png,2.95113,0.232435,0.305726,-1.688618
20250714_183134_679521,go2_dataset_20250714_183124/images/20250714_183134_679521.png,2.946179,0.209046,0.308836,-1.701324
20250714_183134_785603,go2_dataset_20250714_183124/images/20250714_183134_785603.png,2.947894,0.193252,0.30915,-1.706039
20250714_183134_892112,go2_dataset_20250714_183124/images/20250714_183134_892112.png,2.955938,0.170508,0.311044,-1.643862
20250714_183134_999050,go2_dataset_20250714_183124/images/20250714_183134_999050.png,2.95708,0.162273,0.309635,-1.614892
20250714_183135_105563,go2_dataset_20250714_183124/images/20250714_183135_105563.png,2.957985,0.130246,0.311044,-1.578002
20250714_183135_211484,go2_dataset_20250714_183124/images/20250714_183135_211484.png,2.957316,0.105405,0.30986,-1.580555
20250714_183135_317838,go2_dataset_20250714_183124/images/20250714_183135_317838.png,2.956083,0.074029,0.311613,-1.57722
20250714_183135_424521,go2_dataset_20250714_183124/images/20250714_183135_424521.png,2.957878,0.045392,0.31076,-1.570597
20250714_183135_530800,go2_dataset_20250714_183124/images/20250714_183135_530800.png,2.96238,0.014843,0.308403,-1.567518
20250714_183135_637161,go2_dataset_20250714_183124/images/20250714_183135_637161.png,2.965407,-0.013281,0.31147,-1.576117
20250714_183135_740609,go2_dataset_20250714_183124/images/20250714_183135_740609.png,2.969639,-0.059254,0.312358,-1.57678
20250714_183135_847729,go2_dataset_20250714_183124/images/20250714_183135_847729.png,2.971174,-0.077055,0.31274,-1.572235
20250714_183135_954425,go2_dataset_20250714_183124/images/20250714_183135_954425.png,2.97404,-0.137649,0.30536,-1.521176
20250714_183136_061043,go2_dataset_20250714_183124/images/20250714_183136_061043.png,2.976833,-0.187615,0.308838,-1.492462
20250714_183136_167369,go2_dataset_20250714_183124/images/20250714_183136_167369.png,2.978338,-0.23449,0.306025,-1.481669
20250714_183136_271829,go2_dataset_20250714_183124/images/20250714_183136_271829.png,2.978276,-0.285354,0.304675,-1.466708
20250714_183136_378156,go2_dataset_20250714_183124/images/20250714_183136_378156.png,2.97892,-0.311505,0.306199,-1.459584
20250714_183136_484662,go2_dataset_20250714_183124/images/20250714_183136_484662.png,2.98166,-0.385272,0.301202,-1.446165
20250714_183136_590825,go2_dataset_20250714_183124/images/20250714_183136_590825.png,2.985969,-0.445312,0.3064,-1.421241
20250714_183136_697107,go2_dataset_20250714_183124/images/20250714_183136_697107.png,2.998828,-0.539242,0.297995,-1.297346
20250714_183136_799810,go2_dataset_20250714_183124/images/20250714_183136_799810.png,3.014172,-0.592769,0.30324,-1.167082
20250714_183136_904148,go2_dataset_20250714_183124/images/20250714_183136_904148.png,3.035904,-0.633755,0.29923,-1.062813
20250714_183137_007607,go2_dataset_20250714_183124/images/20250714_183137_007607.png,3.066461,-0.664897,0.303938,-0.991971
20250714_183137_114067,go2_dataset_20250714_183124/images/20250714_183137_114067.png,3.102058,-0.689469,0.304665,-0.950129
20250714_183137_220674,go2_dataset_20250714_183124/images/20250714_183137_220674.png,3.144895,-0.714768,0.304562,-0.917225
20250714_183137_326994,go2_dataset_20250714_183124/images/20250714_183137_326994.png,3.186922,-0.746526,0.303014,-0.890406
20250714_183137_432899,go2_dataset_20250714_183124/images/20250714_183137_432899.png,3.232394,-0.794602,0.294227,-0.877832
20250714_183137_536692,go2_dataset_20250714_183124/images/20250714_183137_536692.png,3.310962,-0.882866,0.295409,-0.883
20250714_183137_643121,go2_dataset_20250714_183124/images/20250714_183137_643121.png,3.36582,-0.951923,0.285553,-0.863531
20250714_183137_749659,go2_dataset_20250714_183124/images/20250714_183137_749659.png,3.420178,-1.024531,0.297327,-0.832725
20250714_183137_855946,go2_dataset_20250714_183124/images/20250714_183137_855946.png,3.468129,-1.095113,0.298459,-0.823955
20250714_183137_962453,go2_dataset_20250714_183124/images/20250714_183137_962453.png,3.529494,-1.177902,0.299906,-0.847678
20250714_183138_069065,go2_dataset_20250714_183124/images/20250714_183138_069065.png,3.588485,-1.258218,0.299107,-0.868849
20250714_183138_174837,go2_dataset_20250714_183124/images/20250714_183138_174837.png,3.652748,-1.345784,0.289729,-0.852556
20250714_183138_280189,go2_dataset_20250714_183124/images/20250714_183138_280189.png,3.711222,-1.41791,0.302855,-0.787902
20250714_183138_386876,go2_dataset_20250714_183124/images/20250714_183138_386876.png,3.795063,-1.502274,0.300897,-0.7177
20250714_183138_492701,go2_dataset_20250714_183124/images/20250714_183138_492701.png,3.834409,-1.537994,0.310488,-0.729811
20250714_183138_596854,go2_dataset_20250714_183124/images/20250714_183138_596854.png,3.853937,-1.559696,0.313038,-0.732679
20250714_183138_701266,go2_dataset_20250714_183124/images/20250714_183138_701266.png,3.857599,-1.572111,0.317257,-0.720491
20250714_183138_807130,go2_dataset_20250714_183124/images/20250714_183138_807130.png,3.854129,-1.57735,0.317517,-0.708327
20250714_183138_913647,go2_dataset_20250714_183124/images/20250714_183138_913647.png,3.842168,-1.574404,0.31585,-0.703272
20250714_183139_020255,go2_dataset_20250714_183124/images/20250714_183139_020255.png,3.836201,-1.569848,0.314403,-0.708609
20250714_183139_127142,go2_dataset_20250714_183124/images/20250714_183139_127142.png,3.833977,-1.565487,0.315179,-0.716477
20250714_183139_233669,go2_dataset_20250714_183124/images/20250714_183139_233669.png,3.832359,-1.558636,0.316258,-0.707732
20250714_183139_337961,go2_dataset_20250714_183124/images/20250714_183139_337961.png,3.831399,-1.558777,0.31619,-0.709856
20250714_183139_444637,go2_dataset_20250714_183124/images/20250714_183139_444637.png,3.832467,-1.560654,0.316311,-0.713846
20250714_183139_551206,go2_dataset_20250714_183124/images/20250714_183139_551206.png,3.833808,-1.561137,0.316372,-0.713516
20250714_183139_655193,go2_dataset_20250714_183124/images/20250714_183139_655193.png,3.834009,-1.561439,0.316367,-0.714651
20250714_183139_761651,go2_dataset_20250714_183124/images/20250714_183139_761651.png,3.834004,-1.561363,0.316374,-0.714089
20250714_183139_868330,go2_dataset_20250714_183124/images/20250714_183139_868330.png,3.83446,-1.56148,0.31638,-0.714275
20250714_183139_975057,go2_dataset_20250714_183124/images/20250714_183139_975057.png,3.83496,-1.562071,0.316404,-0.714622
20250714_183140_081619,go2_dataset_20250714_183124/images/20250714_183140_081619.png,3.835743,-1.562684,0.316418,-0.714755
20250714_183140_188288,go2_dataset_20250714_183124/images/20250714_183140_188288.png,3.836511,-1.563478,0.316492,-0.714573
20250714_183140_294683,go2_dataset_20250714_183124/images/20250714_183140_294683.png,3.837136,-1.564134,0.316564,-0.714365
20250714_183140_400874,go2_dataset_20250714_183124/images/20250714_183140_400874.png,3.837862,-1.565004,0.316692,-0.714045
