timestamp,image_path,pos_x,pos_y,pos_z,yaw
20250714_182602_084044,go2_dataset_20250714_182558/images/20250714_182602_084044.png,2.711477,1.679426,0.316405,-0.136035
20250714_182602_190697,go2_dataset_20250714_182558/images/20250714_182602_190697.png,2.712846,1.679921,0.316411,-0.136009
20250714_182602_296722,go2_dataset_20250714_182558/images/20250714_182602_296722.png,2.713007,1.679964,0.316407,-0.136151
20250714_182602_403001,go2_dataset_20250714_182558/images/20250714_182602_403001.png,2.713091,1.680035,0.316399,-0.136199
20250714_182602_509699,go2_dataset_20250714_182558/images/20250714_182602_509699.png,2.713211,1.680103,0.3164,-0.136172
20250714_182602_616721,go2_dataset_20250714_182558/images/20250714_182602_616721.png,2.713337,1.680178,0.316405,-0.136117
20250714_182602_724231,go2_dataset_20250714_182558/images/20250714_182602_724231.png,2.713558,1.680259,0.316416,-0.136039
20250714_182602_828947,go2_dataset_20250714_182558/images/20250714_182602_828947.png,2.713667,1.680343,0.31642,-0.136059
20250714_182602_933041,go2_dataset_20250714_182558/images/20250714_182602_933041.png,2.71386,1.68045,0.316404,-0.136063
20250714_182603_037051,go2_dataset_20250714_182558/images/20250714_182603_037051.png,2.714024,1.680483,0.316397,-0.136307
20250714_182603_143663,go2_dataset_20250714_182558/images/20250714_182603_143663.png,2.714224,1.680598,0.316398,-0.136258
20250714_182603_250367,go2_dataset_20250714_182558/images/20250714_182603_250367.png,2.714415,1.680656,0.316408,-0.136202
20250714_182603_356917,go2_dataset_20250714_182558/images/20250714_182603_356917.png,2.714518,1.680655,0.316425,-0.136148
20250714_182603_463004,go2_dataset_20250714_182558/images/20250714_182603_463004.png,2.714643,1.68074,0.316418,-0.136253
20250714_182603_569186,go2_dataset_20250714_182558/images/20250714_182603_569186.png,2.714818,1.680729,0.316415,-0.13631
20250714_182603_676008,go2_dataset_20250714_182558/images/20250714_182603_676008.png,2.714953,1.68078,0.316419,-0.136371
20250714_182603_782921,go2_dataset_20250714_182558/images/20250714_182603_782921.png,2.715088,1.680809,0.316405,-0.13645
20250714_182603_887439,go2_dataset_20250714_182558/images/20250714_182603_887439.png,2.715225,1.680812,0.316406,-0.136581
20250714_182603_993990,go2_dataset_20250714_182558/images/20250714_182603_993990.png,2.715358,1.680895,0.316409,-0.136605
20250714_182604_101330,go2_dataset_20250714_182558/images/20250714_182604_101330.png,2.715568,1.680997,0.316401,-0.136502
20250714_182604_207677,go2_dataset_20250714_182558/images/20250714_182604_207677.png,2.715655,1.681,0.316068,-0.13659
20250714_182604_311668,go2_dataset_20250714_182558/images/20250714_182604_311668.png,2.71676,1.681354,0.316911,-0.136124
