timestamp,image_path,pos_x,pos_y,pos_z,yaw
20250714_182357_391474,go2_dataset_20250714_182354/images/20250714_182357_391474.png,2.572284,1.853074,0.316098,-0.035602
20250714_182357_498355,go2_dataset_20250714_182354/images/20250714_182357_498355.png,2.572458,1.853133,0.316083,-0.035748
20250714_182357_604303,go2_dataset_20250714_182354/images/20250714_182357_604303.png,2.572633,1.853206,0.316087,-0.035769
20250714_182357_707250,go2_dataset_20250714_182354/images/20250714_182357_707250.png,2.572728,1.853315,0.316094,-0.035811
20250714_182357_813384,go2_dataset_20250714_182354/images/20250714_182357_813384.png,2.572923,1.853312,0.316093,-0.035792
20250714_182357_920279,go2_dataset_20250714_182354/images/20250714_182357_920279.png,2.573107,1.853432,0.316095,-0.035734
20250714_182358_027195,go2_dataset_20250714_182354/images/20250714_182358_027195.png,2.573534,1.853451,0.31569,-0.037162
20250714_182358_134937,go2_dataset_20250714_182354/images/20250714_182358_134937.png,2.576145,1.855436,0.317646,-0.074121
20250714_182358_240844,go2_dataset_20250714_182354/images/20250714_182358_240844.png,2.582926,1.862962,0.321366,-0.259673
20250714_182358_350682,go2_dataset_20250714_182354/images/20250714_182358_350682.png,2.584029,1.863165,0.311593,-0.440839
20250714_182358_458099,go2_dataset_20250714_182354/images/20250714_182358_458099.png,2.580106,1.863354,0.301821,-0.64022
20250714_182358_569557,go2_dataset_20250714_182354/images/20250714_182358_569557.png,2.574808,1.862763,0.310892,-0.831307
20250714_182358_676376,go2_dataset_20250714_182354/images/20250714_182358_676376.png,2.571618,1.851136,0.314765,-0.983
20250714_182358_783116,go2_dataset_20250714_182354/images/20250714_182358_783116.png,2.567626,1.826576,0.315733,-1.045315
20250714_182358_889268,go2_dataset_20250714_182354/images/20250714_182358_889268.png,2.572527,1.79276,0.310281,-1.068268
20250714_182358_995695,go2_dataset_20250714_182354/images/20250714_182358_995695.png,2.597693,1.71483,0.304742,-1.061701
20250714_182359_102266,go2_dataset_20250714_182354/images/20250714_182359_102266.png,2.620305,1.660032,0.299639,-1.059938
20250714_182359_208754,go2_dataset_20250714_182354/images/20250714_182359_208754.png,2.654191,1.591393,0.296734,-1.071572
20250714_182359_315554,go2_dataset_20250714_182354/images/20250714_182359_315554.png,2.691662,1.519734,0.295639,-1.081816
20250714_182359_421689,go2_dataset_20250714_182354/images/20250714_182359_421689.png,2.727324,1.446266,0.286388,-1.101675
20250714_182359_528043,go2_dataset_20250714_182354/images/20250714_182359_528043.png,2.760797,1.370063,0.299571,-1.137133
20250714_182359_634585,go2_dataset_20250714_182354/images/20250714_182359_634585.png,2.8024,1.260232,0.300106,-1.242007
20250714_182359_741628,go2_dataset_20250714_182354/images/20250714_182359_741628.png,2.83339,1.174865,0.306371,-1.30024
20250714_182359_848407,go2_dataset_20250714_182354/images/20250714_182359_848407.png,2.860064,1.099187,0.30289,-1.360993
20250714_182359_955148,go2_dataset_20250714_182354/images/20250714_182359_955148.png,2.879484,1.020094,0.303071,-1.425027
20250714_182400_061687,go2_dataset_20250714_182354/images/20250714_182400_061687.png,2.89282,0.944362,0.310865,-1.514633
20250714_182400_168923,go2_dataset_20250714_182354/images/20250714_182400_168923.png,2.899377,0.863264,0.302811,-1.646175
20250714_182400_275227,go2_dataset_20250714_182354/images/20250714_182400_275227.png,2.899139,0.784113,0.305933,-1.790225
20250714_182400_378068,go2_dataset_20250714_182354/images/20250714_182400_378068.png,2.889847,0.716637,0.297928,-1.857445
20250714_182400_482182,go2_dataset_20250714_182354/images/20250714_182400_482182.png,2.871394,0.660794,0.30312,-1.838691
20250714_182400_586448,go2_dataset_20250714_182354/images/20250714_182400_586448.png,2.843659,0.602414,0.306659,-1.78998
20250714_182400_690762,go2_dataset_20250714_182354/images/20250714_182400_690762.png,2.82167,0.560116,0.310477,-1.757276
20250714_182400_794821,go2_dataset_20250714_182354/images/20250714_182400_794821.png,2.808897,0.511093,0.308959,-1.684948
20250714_182400_898905,go2_dataset_20250714_182354/images/20250714_182400_898905.png,2.797702,0.449423,0.307615,-1.580771
20250714_182401_005393,go2_dataset_20250714_182354/images/20250714_182401_005393.png,2.798896,0.401502,0.308689,-1.532768
20250714_182401_111740,go2_dataset_20250714_182354/images/20250714_182401_111740.png,2.809768,0.355299,0.30163,-1.528395
20250714_182401_218751,go2_dataset_20250714_182354/images/20250714_182401_218751.png,2.828661,0.318481,0.307244,-1.550661
