timestamp,image_path,pos_x,pos_y,pos_z,yaw
20250714_182323_031814,go2_dataset_20250714_182313/images/20250714_182323_031814.png,2.942408,0.3816,0.31678,-1.321892
20250714_182323_134796,go2_dataset_20250714_182313/images/20250714_182323_134796.png,2.947703,0.360823,0.315213,-1.324959
20250714_182323_240925,go2_dataset_20250714_182313/images/20250714_182323_240925.png,2.964129,0.288969,0.314521,-1.310082
20250714_182323_343235,go2_dataset_20250714_182313/images/20250714_182323_343235.png,2.97705,0.247173,0.312822,-1.302142
20250714_182323_450184,go2_dataset_20250714_182313/images/20250714_182323_450184.png,2.97705,0.247173,0.312822,-1.302142
20250714_182323_552853,go2_dataset_20250714_182313/images/20250714_182323_552853.png,2.97705,0.247173,0.312822,-1.302142
20250714_182323_656136,go2_dataset_20250714_182313/images/20250714_182323_656136.png,2.97705,0.247173,0.312822,-1.302142
20250714_182323_761683,go2_dataset_20250714_182313/images/20250714_182323_761683.png,2.97705,0.247173,0.312822,-1.302142
20250714_182323_868109,go2_dataset_20250714_182313/images/20250714_182323_868109.png,2.97705,0.247173,0.312822,-1.302142
20250714_182323_974813,go2_dataset_20250714_182313/images/20250714_182323_974813.png,3.066089,-0.031666,0.310793,-1.239923
20250714_182324_077862,go2_dataset_20250714_182313/images/20250714_182324_077862.png,3.078147,-0.073213,0.310711,-1.236869
20250714_182324_181969,go2_dataset_20250714_182313/images/20250714_182324_181969.png,3.083193,-0.117267,0.308545,-1.224157
20250714_182324_288414,go2_dataset_20250714_182313/images/20250714_182324_288414.png,3.09259,-0.161972,0.311381,-1.184347
20250714_182324_394966,go2_dataset_20250714_182313/images/20250714_182324_394966.png,3.097124,-0.193756,0.311698,-1.149905
20250714_182324_501273,go2_dataset_20250714_182313/images/20250714_182324_501273.png,3.109699,-0.222585,0.312795,-1.138888
20250714_182324_607835,go2_dataset_20250714_182313/images/20250714_182324_607835.png,3.12546,-0.253271,0.309529,-1.141781
20250714_182324_714031,go2_dataset_20250714_182313/images/20250714_182324_714031.png,3.144975,-0.2871,0.312464,-1.135645
20250714_182324_820161,go2_dataset_20250714_182313/images/20250714_182324_820161.png,3.165629,-0.318763,0.309993,-1.130629
20250714_182324_926405,go2_dataset_20250714_182313/images/20250714_182324_926405.png,3.192285,-0.351852,0.30996,-1.115875
20250714_182325_033260,go2_dataset_20250714_182313/images/20250714_182325_033260.png,3.21041,-0.381266,0.312057,-1.073673
20250714_182325_139695,go2_dataset_20250714_182313/images/20250714_182325_139695.png,3.227803,-0.417347,0.314525,-1.014892
20250714_182325_246304,go2_dataset_20250714_182313/images/20250714_182325_246304.png,3.234797,-0.440313,0.315345,-1.00127
20250714_182325_352600,go2_dataset_20250714_182313/images/20250714_182325_352600.png,3.23855,-0.466464,0.314543,-0.997276
20250714_182325_458699,go2_dataset_20250714_182313/images/20250714_182325_458699.png,3.246484,-0.493678,0.314181,-1.00781
20250714_182325_564786,go2_dataset_20250714_182313/images/20250714_182325_564786.png,3.246484,-0.493678,0.314181,-1.00781
20250714_182325_671199,go2_dataset_20250714_182313/images/20250714_182325_671199.png,3.246484,-0.493678,0.314181,-1.00781
20250714_182325_777216,go2_dataset_20250714_182313/images/20250714_182325_777216.png,3.246484,-0.493678,0.314181,-1.00781
20250714_182325_883257,go2_dataset_20250714_182313/images/20250714_182325_883257.png,3.246484,-0.493678,0.314181,-1.00781
20250714_182325_989399,go2_dataset_20250714_182313/images/20250714_182325_989399.png,3.246484,-0.493678,0.314181,-1.00781
20250714_182326_095858,go2_dataset_20250714_182313/images/20250714_182326_095858.png,3.246484,-0.493678,0.314181,-1.00781
20250714_182326_201942,go2_dataset_20250714_182313/images/20250714_182326_201942.png,3.423311,-0.819118,0.30193,-0.976355
20250714_182326_308069,go2_dataset_20250714_182313/images/20250714_182326_308069.png,3.466457,-0.885186,0.296398,-0.965762
20250714_182326_414327,go2_dataset_20250714_182313/images/20250714_182326_414327.png,3.51468,-0.957956,0.302692,-0.959236
20250714_182326_520423,go2_dataset_20250714_182313/images/20250714_182326_520423.png,3.562372,-1.02943,0.293901,-0.903097
20250714_182326_627463,go2_dataset_20250714_182313/images/20250714_182326_627463.png,3.610057,-1.103366,0.296592,-0.790078
20250714_182326_733966,go2_dataset_20250714_182313/images/20250714_182326_733966.png,3.610057,-1.103366,0.296592,-0.790078
20250714_182326_840432,go2_dataset_20250714_182313/images/20250714_182326_840432.png,3.610057,-1.103366,0.296592,-0.790078
20250714_182326_946570,go2_dataset_20250714_182313/images/20250714_182326_946570.png,3.610057,-1.103366,0.296592,-0.790078
20250714_182327_053394,go2_dataset_20250714_182313/images/20250714_182327_053394.png,3.610057,-1.103366,0.296592,-0.790078
20250714_182327_159687,go2_dataset_20250714_182313/images/20250714_182327_159687.png,3.892741,-1.324545,0.309096,-0.204071
20250714_182327_265527,go2_dataset_20250714_182313/images/20250714_182327_265527.png,3.949257,-1.345255,0.304261,-0.186405
20250714_182327_372101,go2_dataset_20250714_182313/images/20250714_182327_372101.png,4.022694,-1.366437,0.307833,-0.213915
20250714_182327_478858,go2_dataset_20250714_182313/images/20250714_182327_478858.png,4.098751,-1.38471,0.299569,-0.214695
20250714_182327_585124,go2_dataset_20250714_182313/images/20250714_182327_585124.png,4.217775,-1.413622,0.303157,-0.172118
20250714_182327_688191,go2_dataset_20250714_182313/images/20250714_182327_688191.png,4.283344,-1.416506,0.306036,-0.157194
20250714_182327_791435,go2_dataset_20250714_182313/images/20250714_182327_791435.png,4.334313,-1.404606,0.305525,-0.167671
20250714_182327_897728,go2_dataset_20250714_182313/images/20250714_182327_897728.png,4.360749,-1.395835,0.310551,-0.180414
20250714_182327_999010,go2_dataset_20250714_182313/images/20250714_182327_999010.png,4.365941,-1.38706,0.31193,-0.182356
20250714_182328_105248,go2_dataset_20250714_182313/images/20250714_182328_105248.png,4.363154,-1.381896,0.312599,-0.158583
20250714_182328_211196,go2_dataset_20250714_182313/images/20250714_182328_211196.png,4.353617,-1.38535,0.31058,-0.14198
