timestamp,image_path,pos_x,pos_y,pos_z,yaw
20250714_182758_865774,go2_dataset_20250714_182756/images/20250714_182758_865774.png,3.189202,2.598757,0.317714,1.777338
20250714_182758_972388,go2_dataset_20250714_182756/images/20250714_182758_972388.png,3.189114,2.598932,0.317717,1.777246
20250714_182759_078635,go2_dataset_20250714_182756/images/20250714_182759_078635.png,3.188939,2.599133,0.317716,1.777163
20250714_182759_181143,go2_dataset_20250714_182756/images/20250714_182759_181143.png,3.188809,2.599313,0.317718,1.777187
20250714_182759_283574,go2_dataset_20250714_182756/images/20250714_182759_283574.png,3.18851,2.599523,0.317719,1.77718
20250714_182759_385157,go2_dataset_20250714_182756/images/20250714_182759_385157.png,3.188411,2.599697,0.317712,1.777099
20250714_182759_491566,go2_dataset_20250714_182756/images/20250714_182759_491566.png,3.188214,2.599864,0.317722,1.776943
20250714_182759_593542,go2_dataset_20250714_182756/images/20250714_182759_593542.png,3.188103,2.599924,0.317726,1.776876
20250714_182759_698766,go2_dataset_20250714_182756/images/20250714_182759_698766.png,3.188033,2.600118,0.317723,1.77693
20250714_182759_805370,go2_dataset_20250714_182756/images/20250714_182759_805370.png,3.187933,2.600273,0.31772,1.777069
20250714_182759_908495,go2_dataset_20250714_182756/images/20250714_182759_908495.png,3.187767,2.600356,0.317719,1.777157
20250714_182800_012065,go2_dataset_20250714_182756/images/20250714_182800_012065.png,3.187693,2.600554,0.317724,1.777149
20250714_182800_118659,go2_dataset_20250714_182756/images/20250714_182800_118659.png,3.188864,2.600419,0.316877,1.782711
20250714_182800_225118,go2_dataset_20250714_182756/images/20250714_182800_225118.png,3.192658,2.596998,0.314762,1.836598
20250714_182800_331136,go2_dataset_20250714_182756/images/20250714_182800_331136.png,3.203814,2.593254,0.3136,1.93639
20250714_182800_438751,go2_dataset_20250714_182756/images/20250714_182800_438751.png,3.203512,2.587826,0.315757,2.173602
20250714_182800_546874,go2_dataset_20250714_182756/images/20250714_182800_546874.png,3.201083,2.586474,0.317281,2.398556
